vim#argidx()	参数列表中的当前索引号
vim#argv()	返回参数列表中指定索引号的参数
vim#bufexists()	检查一个缓冲区是否存在
vim#buflisted()	检查一个缓冲区是否存在并且位于缓冲区列表中
vim#bufloaded()	检查一个缓冲区是否存在并被载入
vim#bufname()	返回指定缓冲区号所对应的缓冲区名字
vim#bufnr()	返回指定缓冲区名字所对应的缓冲区号
vim#tabpagebuflist()	得到指定页签中的缓冲区列表
vim#tabpagenr()	得到指定页签的编号
vim#tabpagewinnr()	对指定页签的 winnr()函数
vim#winnr()	返回当前窗口的窗口号
vim#bufwinnr()	得到指定缓冲区所在的窗口号,没有对应窗口时返回-1
vim#winbufnr()	返回指定窗口中所编辑的缓冲区的号码
vim#getbufline()	从指定缓冲区中取得指定行作为列表变量返回
vim#getcmdline()	得到当前的命令行
vim#getcmdpos()	得到命令行中当前光标的位置
vim#setcmdpos()	设置命令行中当前光标的位置
vim#getcmdtype()	返回当前命令的类型
vim#getqflist()	将quickfix窗口中各项作为列表返回
vim#setqflist()	修改一个quickfix列表
vim#getloclist()	将location窗口中的各项作为列表返回 a
vim#setloclist()	修改一个 location 列表
vim#omplete()	设置找到的匹配项
vim#complete_add()	添加一个匹配项
vim#complete_check()	检查当前补全是否应该被放弃
vim#pumvisible()	检查弹出菜单是否已显示
vim#foldclosed()
vim#folding-functions 检查指定行是否位于一个处于关闭状态的折行内
vim#foldclosedend()	同上,返回的是折行的尾行行号
vim#foldlevel()	返回指定行的折行层级,没有定义折行时返回0
vim#foldtext()	生成一个关闭的折行所显示的文本 a
vim#foldtextresult()	得到一个折叠起来的折行的显示文本
vim#clearmatches()	清除由matchadd()和:match命令定义的所有匹配
vim#getmatches()	获取由matchadd()和:match命令定义的所有匹配
vim#hlexists()	检查一个语法高亮项是否存在
vim#hlID()	返回一个语法高亮项的ID
vim#synID()	返回指定位置的语法ID
vim#synIDattr()	返回某语法ID的指定属性
vim#synIDtrans()	得到某语法项最终应用了其颜色定义的那种语法的ID
vim#diff_hlID()	得到diff下指定位置的高亮ID
vim#matchadd()	定义一个语法高亮的模式(一个匹配)
vim#matcharg()	得到:match的参数信息
vim#matchdelete()	删除一个由matchadd()或:match命令定义的匹配
